theta_o,MRM
-89.9999,0.00415973
-88.9999,0.00309098
-87.9999,0.00236577
-86.9999,0.00188676
-85.9999,0.00156446
-84.9999,0.00133974
-83.9999,0.00117719
-82.9999,0.00105574
-81.9999,0.000962535
-80.9999,0.000889454
-79.9999,0.000831166
-78.9999,0.000784067
-77.9999,0.000745641
-76.9999,0.00071409
-75.9999,0.000688097
-74.9999,0.000666683
-73.9999,0.000649105
-72.9999,0.000634791
-71.9999,0.000623301
-70.9999,0.000614288
-69.9999,0.000607478
-68.9999,0.000602658
-67.9999,0.000599657
-66.9999,0.000598343
-65.9999,0.000598614
-64.9999,0.000600392
-63.9999,0.000603621
-62.9999,0.000608263
-61.9999,0.000614298
-60.9999,0.000621718
-59.9999,0.000630529
-58.9999,0.000640752
-57.9999,0.000652419
-56.9999,0.000665574
-55.9999,0.000680272
-54.9999,0.000696583
-53.9999,0.000714587
-52.9999,0.00073438
-51.9999,0.000756073
-50.9999,0.000779789
-49.9999,0.000805672
-48.9999,0.000833883
-47.9999,0.000864603
-46.9999,0.000898039
-45.9999,0.000934419
-44.9999,0.000974005
-43.9999,0.00101709
-42.9999,0.001064
-41.9999,0.0011151
-40.9999,0.00117082
-39.9999,0.00123162
-38.9999,0.00129805
-37.9999,0.0013707
-36.9999,0.00145026
-35.9999,0.00153751
-34.9999,0.00163335
-33.9999,0.00173879
-32.9999,0.001855
-31.9999,0.00198332
-30.9999,0.00212529
-29.9999,0.0022827
-28.9999,0.00245762
-27.9999,0.00265244
-26.9999,0.00286996
-25.9999,0.00311346
-24.9999,0.00338678
-23.9999,0.00369447
-22.9999,0.00404187
-21.9999,0.00443535
-20.9999,0.00488252
-19.9999,0.00539248
-18.9999,0.00597618
-17.9999,0.00664689
-16.9999,0.00742074
-15.9999,0.00831744
-14.9999,0.00936122
-13.9999,0.0105821
-12.9999,0.0120173
-11.9999,0.0137138
-10.9999,0.0157304
-9.9999,0.0181422
-8.9999,0.0210452
-7.9999,0.0245637
-6.9999,0.0288593
-5.9999,0.0341445
-4.9999,0.0407016
-3.9999,0.0489089
-2.9999,0.0592791
-1.9999,0.0725147
-0.999901,0.0895891
9.91821e-005,0.111867
1.0001,0.141285
2.0001,0.180621
3.0001,0.233901
4.0001,0.307016
5.0001,0.408624
6.0001,0.551442
7.0001,0.753944
8.0001,1.04215
9.0001,1.4503
10.0001,2.01714
11.0001,2.77084
12.0001,3.69397
13.0001,4.67126
14.0001,5.46377
15.0001,5.7903
16.0001,5.51492
17.0001,4.75919
18.0001,3.79884
19.0001,2.87632
20.0001,2.1137
21.0001,1.53413
22.0001,1.11287
23.0001,0.812806
24.0001,0.600208
25.0001,0.44906
26.0001,0.340681
27.0001,0.262094
28.0001,0.204391
29.0001,0.161473
30.0001,0.129138
31.0001,0.104471
32.0001,0.0854291
33.0001,0.070562
34.0001,0.0588304
35.0001,0.0494799
36.0001,0.0419571
37.0001,0.0358512
38.0001,0.0308545
39.0001,0.0267339
40.0001,0.0233111
41.0001,0.0204487
42.0001,0.0180397
43.0001,0.0160002
44.0001,0.014264
45.0001,0.0127781
46.0001,0.0115002
47.0001,0.0103962
48.0001,0.00943828
49.0001,0.00860378
50.0001,0.00787406
51.0001,0.00723375
52.0001,0.00667009
53.0001,0.00617244
54.0001,0.00573189
55.0001,0.00534094
56.0001,0.00499329
57.0001,0.00468357
58.0001,0.00440725
59.0001,0.00416047
60.0001,0.00393991
61.0001,0.00374278
62.0001,0.00356666
63.0001,0.00340952
64.0001,0.0032696
65.0001,0.00314544
66.0001,0.00303581
67.0001,0.00293969
68.0001,0.00285626
69.0001,0.00278491
70.0001,0.00272519
71.0001,0.00267686
72.0001,0.00263986
73.0001,0.00261436
74.0001,0.0026008
75.0001,0.00259989
76.0001,0.00261274
77.0001,0.00264095
78.0001,0.00268676
79.0001,0.00275332
80.0001,0.00284504
81.0001,0.00296821
82.0001,0.00313195
83.0001,0.00334977
84.0001,0.00364234
85.0001,0.00404225
86.0001,0.00460263
87.0001,0.00541187
88.0001,0.00661483
89.0001,0.0084228
