theta_o,Lambert,ON,QON,footnoteQON,fujiiQON,FON,EON,GGX,MRM
-89.9999,0.31831,0.177553,0.196027,0.213659,0.178216,0.178164,0.178164,0.278832,0.133083
-88.9999,0.31831,0.17727,0.196027,0.213659,0.178226,0.178177,0.179219,0.276185,0.129165
-87.9999,0.31831,0.17703,0.196027,0.213659,0.178257,0.178218,0.180399,0.27377,0.125476
-86.9999,0.31831,0.176832,0.196027,0.213659,0.178307,0.178286,0.181614,0.271581,0.122004
-85.9999,0.31831,0.176675,0.196027,0.213659,0.178378,0.178381,0.182863,0.269613,0.11874
-84.9999,0.31831,0.176559,0.196027,0.213659,0.178468,0.178502,0.184145,0.267864,0.115672
-83.9999,0.31831,0.176483,0.196027,0.213659,0.178579,0.178651,0.18546,0.26633,0.112793
-82.9999,0.31831,0.176446,0.196027,0.213659,0.17871,0.178827,0.186806,0.265008,0.110093
-81.9999,0.31831,0.176447,0.196027,0.213659,0.17886,0.17903,0.188183,0.263894,0.107565
-80.9999,0.31831,0.176486,0.196027,0.213659,0.179031,0.179259,0.189589,0.262986,0.1052
-79.9999,0.31831,0.176562,0.196027,0.213659,0.179222,0.179515,0.191024,0.262279,0.102992
-78.9999,0.31831,0.176674,0.196027,0.213659,0.179432,0.179798,0.192486,0.261771,0.100932
-77.9999,0.31831,0.176823,0.196027,0.213659,0.179663,0.180108,0.193975,0.261457,0.0990158
-76.9999,0.31831,0.177007,0.196027,0.213659,0.179913,0.180444,0.195489,0.261335,0.0972355
-75.9999,0.31831,0.177227,0.196027,0.213659,0.180182,0.180806,0.197028,0.261399,0.0955854
-74.9999,0.31831,0.177481,0.196027,0.213659,0.180471,0.181195,0.198589,0.261645,0.09406
-73.9999,0.31831,0.177769,0.196027,0.213659,0.18078,0.18161,0.200173,0.26207,0.0926539
-72.9999,0.31831,0.178091,0.196027,0.213659,0.181108,0.182051,0.201777,0.262667,0.091362
-71.9999,0.31831,0.178446,0.196027,0.213659,0.181455,0.182517,0.203401,0.263432,0.0901796
-70.9999,0.31831,0.178834,0.196027,0.213659,0.181822,0.18301,0.205043,0.26436,0.0891021
-69.9999,0.31831,0.179254,0.196027,0.213659,0.182207,0.183528,0.206703,0.265444,0.0881254
-68.9999,0.31831,0.179706,0.196027,0.213659,0.182612,0.184072,0.208378,0.266679,0.0872457
-67.9999,0.31831,0.18019,0.196027,0.213659,0.183035,0.184641,0.210068,0.268058,0.0864591
-66.9999,0.31831,0.180705,0.196027,0.213659,0.183477,0.185235,0.211772,0.269575,0.0857625
-65.9999,0.31831,0.181251,0.196027,0.213659,0.183938,0.185854,0.213488,0.271223,0.0851526
-64.9999,0.31831,0.181828,0.196027,0.213659,0.184417,0.186498,0.215215,0.272994,0.0846266
-63.9999,0.31831,0.182434,0.196027,0.213659,0.184914,0.187166,0.216952,0.274881,0.0841818
-62.9999,0.31831,0.18307,0.196027,0.213659,0.185429,0.187859,0.218698,0.276876,0.0838159
-61.9999,0.31831,0.183735,0.196027,0.213659,0.185963,0.188576,0.220452,0.278969,0.0835267
-60.9999,0.31831,0.184429,0.196027,0.213659,0.186514,0.189316,0.222212,0.281153,0.0833123
-59.9999,0.31831,0.185152,0.196027,0.213659,0.187083,0.190081,0.223978,0.283418,0.0831707
-58.9999,0.31831,0.185902,0.196027,0.213659,0.187669,0.190869,0.225748,0.285754,0.0831006
-57.9999,0.31831,0.18668,0.196027,0.213659,0.188272,0.19168,0.227522,0.288151,0.0831006
-56.9999,0.31831,0.187486,0.196027,0.213659,0.188893,0.192514,0.229298,0.290599,0.0831693
-55.9999,0.31831,0.188318,0.196027,0.213659,0.18953,0.193371,0.231076,0.293085,0.0833059
